TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
3135,6105,432,928,19,22,475,156,6,3,88,21
2210,7099,325,1083,13,23,899,467,12,2,135,73
2552,7294,328,992,13,22,805,350,12,3,120,41
2485,5173,370,752,14,20,656,378,11,5,89,49
2136,6252,291,803,13,21,1260,396,12,4,164,52
3717,8223,415,870,18,20,989,955,7,5,97,111
3698,10235,441,1093,16,18,581,883,9,7,93,129
4033,9028,460,951,12,21,1659,266,13,4,192,45
4564,6671,538,749,19,21,890,820,6,4,98,88
6308,12212,627,1344,19,24,494,360,6,1,76,36
5776,10726,653,1203,20,21,810,644,5,4,92,83
3557,10341,383,1181,12,20,1521,745,13,5,184,79
4997,9708,611,992,15,21,1063,386,10,4,125,68
3259,10145,385,1068,14,21,1359,592,11,4,134,75
2688,9342,284,1115,13,24,1255,48,12,1,184,6
17640,20005,2545,2887,41,46,496,237,9,4,70,31
15370,16739,2208,2432,44,43,527,349,6,7,68,57
17588,20925,2339,2828,41,47,807,288,9,3,101,35
13450,15945,1951,2327,45,45,307,348,5,5,41,47
18803,22746,2728,3044,45,44,328,265,5,6,45,56
13504,17947,1916,2578,41,46,707,264,9,4,108,45
14322,15231,2207,2332,43,44,431,401,7,6,55,65
17010,22394,2232,2989,42,47,596,220,8,3,74,25
16499,20785,2274,2888,40,45,818,420,10,5,117,68
16635,20927,2321,2909,41,48,786,164,9,2,118,25
19562,25489,2410,3051,43,46,302,400,7,4,48,50
25893,37682,2522,3794,43,47,421,209,7,3,63,29
25790,38115,2748,4199,45,46,376,622,5,4,43,60
19993,31283,2215,3524,42,46,1031,316,8,4,121,35
23948,32174,2541,3661,43,44,339,603,7,6,53,88
22894,30442,2536,3437,43,48,387,184,7,2,43,23
26596,31827,2740,3442,43,45,944,629,7,5,118,75
21311,26512,2155,2705,42,46,615,247,8,4,67,48
21271,30200,2503,3520,45,44,341,592,5,6,37,88
32239,32724,3566,3716,45,47,336,329,5,3,45,42
13947,14952,2039,2213,39,40,1629,1333,11,10,226,191
15468,19148,2039,2541,40,44,1254,596,10,6,175,79
16613,20178,2328,2832,41,45,855,513,9,5,130,63
11337,14114,1848,2307,40,42,934,305,10,8,125,40
