TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
10927,12711,1500,1735,41,44,107,40,9,6,26,10
13078,17744,1875,2557,45,45,189,133,5,5,36,28
11367,14045,1579,1890,45,46,99,50,5,4,19,12
8226,15218,1229,2195,43,49,183,6,7,1,29,1
19426,27560,1938,2706,39,48,1130,83,11,2,136,7
20177,25739,2090,2497,35,43,685,54,15,7,103,11
21974,30758,2187,2940,46,48,46,139,4,2,6,28
20167,24037,1988,2475,41,45,207,93,9,5,37,14
14944,19441,1602,2142,42,43,257,161,8,7,32,22
23553,33553,2185,3017,37,41,557,213,13,9,67,42
21255,25081,2409,2962,44,46,298,161,6,4,35,19
13762,19098,1659,2297,42,46,289,60,8,4,31,5
17075,21806,1839,2401,42,49,133,12,8,1,22,2
25363,32798,2527,3146,39,48,533,65,11,2,65,15
25693,28655,3232,3759,44,47,218,82,6,3,31,12
17697,24311,2619,3710,45,48,88,56,5,2,15,13
25478,31510,3340,4089,44,47,211,24,6,3,28,3
23642,31102,3173,4071,46,50,68,0,4,0,10,0
15839,20299,2468,3143,45,45,70,70,5,5,12,12
24089,33262,3412,4733,45,49,303,32,5,1,40,8
19548,26680,2767,3732,47,50,203,0,3,0,29,0
20808,22481,3074,3257,44,49,130,8,6,1,23,2
17789,23357,2669,3440,37,48,287,60,13,2,42,12
13665,18239,2000,2491,44,50,115,0,6,0,21,0
38119,51032,4229,5382,43,47,720,144,7,3,92,21
34965,44133,3812,4609,46,48,94,0,4,2,12,0
37927,44717,4153,4656,47,46,68,41,3,4,12,5
33370,41113,4074,4649,44,47,148,57,6,3,17,7
36701,46795,3868,5092,44,49,494,10,6,1,78,2
29331,45702,3312,4625,43,50,383,0,7,0,41,0
34514,42566,4007,4677,44,49,162,4,6,1,19,1
30735,42667,3351,4472,42,49,351,14,8,1,44,2
38196,43926,3865,4225,43,47,388,122,7,3,44,16
35446,42012,3938,4490,47,49,267,0,3,1,27,0
18479,22430,2463,3155,42,45,160,52,8,5,30,10
17844,24352,2524,3430,44,50,161,0,6,0,34,0
16688,24535,2298,3472,38,47,609,20,12,3,98,4
20342,24763,2785,3325,44,47,208,60,6,3,35,9
