Insrance Number,Size,LPT,ERT,EDD,FDD,ODD,LST,CI,Size-ANN,LPT-ANN,ERT-ANN,EDD-ANN,FDD-ANN,ODD-ANN,LST-ANN,CI-ANN
412,86.02,90.74,55.15,42.29,40.37,21.96,61.21,47.7,31.94,32.18,78.76,21.85,20.85,4.79,50.19,53.17
413,56.62,66.3,44.72,42.29,29.6,26.05,33.48,28.88,21.44,20.74,54.93,16.26,13.14,2.6,31.7,28.06
414,75.39,82.74,51.63,65.44,33.9,22.07,48.02,40.51,29.92,34.62,51.23,26.87,21.33,5.5,32.89,30.74
415,82.33,94.54,42.83,64.25,27.09,31.01,68.37,58.24,31.22,32.81,66.12,39.65,18.65,3.68,32.93,36.27
416,75.69,84.42,56.64,83.83,49.96,31.89,91.44,77.78,40.45,34.89,66.9,35.29,22.82,5.7,37.41,32
417,54.05,47.97,32.28,36.43,27.5,24.17,43.83,32.81,23,19.92,38.03,10.89,13.01,2.2,29.75,33.75
418,76.49,99.75,50.96,65.98,59.36,28.97,85.87,80.08,44.1,35.08,81.12,43.41,26.88,7.24,46.88,64.01
419,66.45,84.83,35.77,54.75,30.46,20.76,47.3,43.76,27.62,23.78,62.37,31.24,15.93,2.99,38.39,41.3
420,68.27,87.74,54.49,55.89,37.84,19.46,55.34,46.03,25.86,39.54,59.57,22.08,19.17,4.19,19.76,28.32
421,105.44,110.26,64.28,52.27,47.25,25.47,71.85,81.73,40.4,30.37,65.12,24.57,28.64,5.47,55.36,35.83
422,147.57,140.27,76.65,78.6,61.94,33.93,87.46,76.66,77.99,50.21,119.12,49.86,30.81,6.43,89.95,84.24
423,68.23,78.01,77.23,45.52,49.77,24.34,52.92,64.1,45.85,43.81,66.5,32.97,22.83,6.68,49.16,46.71
424,98.87,95.72,67.64,83.69,54.02,20.06,76.02,67.23,41.42,36.37,65.6,43.9,19.34,3.78,42.98,58.6
425,90.53,91.01,47.39,55.41,47.22,9.99,47.79,48.55,53.11,28.18,72.39,13.69,19.33,1.1,48.37,50.86
426,58.5,77.53,41.52,47.52,14.11,5.28,59.06,37.77,15.53,16.04,33.45,19.07,0,0.54,28.06,26.86
427,145.26,147.18,107.39,119.6,72.14,14.6,138.45,147.38,77.22,83.11,105.38,71.58,31.28,1.45,105.31,100.68
428,91.83,80.03,61.01,70.05,57.29,22.69,78.86,85.24,49.98,39.52,56.29,47.79,31.59,5.61,54.16,47.31
429,99.36,81.04,41.24,45.63,42.4,12.51,58.12,37.41,49.07,30.52,62.94,25.95,18.38,1.57,35.61,48.27
430,142.67,142.44,89.32,62.54,75.41,36.8,82.74,98.29,90.48,53.01,108.51,42.5,45.35,9.49,87.09,82.64
431,52.13,61.6,45.86,38.67,32.55,15.56,39.73,34.15,19.14,25.74,45.38,14.49,10.55,1.81,26.78,17.19
432,65.4,92.14,62.01,53.07,36.42,21.73,51.91,27.51,32.39,29.97,60.21,25.01,21.42,4.98,41.38,38.99
433,71.58,75.09,43,37.24,37.84,16.85,36.37,36.5,15.34,26.59,41.21,18.43,18.46,3.13,22.88,17.98
434,96.03,98.25,50.14,57.78,40.14,23.38,66.43,60.2,53,35.29,74.29,20.72,20.91,4.37,37.46,36.31
435,78.88,112.05,75.43,58.67,43.95,15.22,72.28,66.14,53.5,47.09,79.48,36.72,23.05,2.07,53.24,48.16
436,101.13,112.27,64.53,55.9,48.78,30.96,55.83,48.96,42.21,38.07,83.56,27.82,37.13,6.89,54.66,49.26
437,50.06,65.39,45.85,77.58,32.62,9.54,74.31,54.33,33.63,28.38,45.88,38.22,11.53,1.17,34.24,21.34
438,84.95,99.21,53.4,75.23,43.44,18.86,81.81,74.17,54.12,39.22,79.19,49.03,26.43,3.59,37.27,47.15
439,76.86,82.37,51.12,59.42,50.64,16.01,65.25,40.37,24.32,33.61,47.89,29.11,23.82,3.11,32.03,35.33
440,154.8,186.81,116.83,121.25,68.64,53.33,145.94,144.03,104.53,99.07,155.49,79.58,51.46,14.18,99.14,98.58
441,110.19,96.7,90.41,102.6,55.16,24.53,98.19,108.46,64.93,65.57,88.62,66.89,52.36,5.46,63.44,46.66
442,108.41,113.16,88.06,84.4,69.58,22.18,112.56,92.15,62.72,58.34,87.91,45.21,33.07,4.35,78.41,63.12
443,70.75,68.89,61.89,47.95,27.51,6.25,63,58.91,45.42,38.35,53.23,33.39,17.57,0.55,41.17,39.72
444,114.29,114.17,93.99,80.26,85.31,42.43,113.91,94.95,73.9,68.22,95.28,60.29,42.41,15.73,82.46,83
445,94.28,85.43,55.38,51.81,49.87,18.3,65.21,47.99,56.34,43.31,67.65,29.67,23.28,3.55,57.49,58.94
446,84.58,74.16,41.75,41.58,43.57,27.9,44.39,38.01,48.41,37.73,58.84,28.51,21.33,5.38,37.11,45.67
447,114.06,67.95,83.43,69.2,61.79,37.73,99.48,75.38,59.74,60.5,67.95,40.05,27.94,6.84,48.32,57.77
448,80.31,80.81,66.04,50.59,38.96,18.72,79.99,87.71,60.99,43.79,60.71,35.76,23.48,3.99,52.13,51.42
449,97.03,89.66,81.58,70.59,51.09,10.79,92.38,83.52,52.5,56.45,72.24,41.19,28.04,1.2,61.6,65.81
450,129.25,126.28,88.52,64.24,58.27,25.68,95.96,84.46,87.02,57.54,108.8,41.48,29.99,5.1,71.99,74.76
451,57.26,69.11,49.17,35.59,34.48,17.42,57.87,54.5,27.38,35.83,63.35,26.83,20.22,4.39,39.43,35.7
452,63.61,107.19,85.96,66.75,48.27,24.98,78.82,63.83,39.78,56.67,81.98,38.63,32.24,5.82,52.77,37.62
453,92.48,109.19,91.01,62.61,53.34,19.15,84.55,76.58,50.7,61.2,91.71,41.98,39.02,3.36,47.74,57.41
454,59.37,69.54,71.74,69.27,43.8,25.08,70.58,63.51,34.84,44.48,52.55,32.51,26.53,8.77,32.32,36.86
